what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331701825523
java.vm.specification.version,sysinfo,,,"1.0",1331701825523
java.vm.vendor,sysinfo,,,"Apple Inc.",1331701825523
java.vm.version,sysinfo,,,"20.4-b02-402",1331701825523
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331701827957
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1331701830987
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1331701831057
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1331701831101
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1331701831207
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1331701831221
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331701832630
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1331701832641
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1331701836643
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1331701837009
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1331701850221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331701875146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331701880009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331701882496
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331701884802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331701890959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331702168708
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1331702175662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331702180587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331702180811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331702182704
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1331702183044
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1331702183539
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331702183705
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1331702183728
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1331702183738
